Scaffold	Treatment	Depth	Plot	Time	Duplicate
15_R_Wat_40_2_0_2	Wat	40	2	0	2
15_R_Wat_40_2_12_1	Wat	40	2	12	1
15_R_Wat_40_2_12_2	Wat	40	2	12	2
15_R_Wat_40_2_24_1	Wat	40	2	24	1
15_R_Wat_40_2_24_2	Wat	40	2	24	2
15_R_Wat_40_2_4_1	Wat	40	2	4	1
15_R_Wat_40_2_4_2	Wat	40	2	4	2
15_R_Wat_40_2_8_1	Wat	40	2	8	1
15_R_Wat_40_2_8_2	Wat	40	2	8	2
15_R_Wat_40_5_0_1	Wat	40	5	0	1
15_R_Wat_40_5_0_2	Wat	40	5	0	2
15_R_Wat_40_5_12_1	Wat	40	5	12	1
15_R_Wat_40_5_12_2	Wat	40	5	12	2
15_R_Wat_40_5_24_1	Wat	40	5	24	1
15_R_Wat_40_5_24_2	Wat	40	5	24	2
15_R_Wat_40_5_4_1	Wat	40	5	4	1
15_R_Wat_40_5_4_2	Wat	40	5	4	2
15_R_Wat_40_5_8_1	Wat	40	5	8	1
15_R_Wat_40_5_8_2	Wat	40	5	8	2
